# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 246162218144
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  cobre    cobre                [.] presolve::HPresolve::yieldsImpliedLowerBound(int, double) const
     0.02%  cobre    libstdc++.so.6.0.36  [.] std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
     0.02%  cobre    cobre                [.] HEkkPrimal::chooseColumn(bool)
     0.02%  cobre    cobre                [.] HEkk::isBadBasisChange(SimplexAlgorithm, int, int, int)
     0.02%  cobre    cobre                [.] presolve::HPresolve::markChangedCol(int)
     0.02%  cobre    cobre                [.] cobre_sddp::lp::builder::patch::PatchBuffer::fill_forward_patches
     0.02%  cobre    libstdc++.so.6.0.36  [.] free@plt
     0.02%  cobre    cobre                [.] std::_Rb_tree<std::pair<int, int>, std::pair<int, int>, std::_Identity<std::pair<int, int> >, std::less<std::pair<int, int> >, std::allocator<std::pair<int, int> > >::_M_erase(std::_Rb_tree_node<std::pair<int, int> >*) [clone .isra.0]
     0.02%  cobre    cobre                [.] HighsSparseMatrix::isColwise() const
     0.02%  cobre    cobre                [.] cobre_sddp::training::forward::basis_capture::write_capture_metadata
     0.02%  cobre    cobre                [.] HEkkDualRHS::createInfeasList(double)
     0.02%  cobre    cobre                [.] HEkkDualRow::chooseFinalLargeAlpha(int&, int&, int, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&, std::vector<int, std::allocator<int> > const&)
     0.02%  cobre    cobre                [.] HEkk::computePrimalObjectiveValue()
     0.02%  cobre    cobre                [.] presolve::HPresolve::changeImplRowDualLower(int, double, int)
     0.02%  cobre    cobre                [.] presolve::HPresolve::changeImplRowDualUpper(int, double, int)
     0.02%  cobre    cobre                [.] HighsLinearSumBounds::updatedVarLower(int, int, double, double)
     0.02%  cobre    cobre                [.] presolve::HPresolve::resetRowDualImpliedBoundsDerivedFromCol(int)
     0.02%  cobre    cobre                [.] presolve::HPresolve::isEquation(int) const
     0.02%  cobre    cobre                [.] HEkkDualRHS::createArrayOfPrimalInfeasibilities()
     0.02%  cobre    cobre                [.] frexp@plt
     0.01%  cobre    cobre                [.] assessCosts(HighsOptions const&, int, HighsIndexCollection const&, std::vector<double, std::allocator<double> >&, bool&, double)
     0.01%  cobre    cobre                [.] std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&)
     0.01%  cobre    cobre                [.] std::_Hashtable<unsigned long, std::pair<unsigned long const, int>, std::allocator<std::pair<unsigned long const, int> >, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::_M_insert_multi_node(std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, int>, false>*)
     0.01%  cobre    cobre                [.] cobre_io::output::dictionary::write_bounds_parquet
     0.01%  cobre    libc.so.6            [.] _int_realloc
     0.01%  cobre    cobre                [.] HighsLinearSumBounds::getResidualSumLower(int, int, double, int, double, double) const
     0.01%  cobre    cobre                [.] core::ptr::drop_in_place<core::option::Option<parquet::file::statistics::Statistics>>
     0.01%  cobre    cobre                [.] qh_initqhull_globals
     0.01%  cobre    cobre                [.] hashbrown::map::HashMap<K,V,S,A>::insert
     0.00%  cobre    cobre                [.] serde_json::read::SliceRead::skip_to_escape
     0.00%  cobre    cobre                [.] cobre_sddp::production::fpha_fitting::alpha::compute_alpha_fpha


#
# (Tip: Show user configuration overrides: perf config --user --list)
#


# --- LBR inclusive attribution (supplement; the DWARF recording above did not unwind on this binary) ---
# re-recorded one un-timed 2t pass with --call-graph lbr; 5769 samples.
# inclusive run_enumerated_backward       172 = 2.98%  (all under run_backward_node_replicated -> HiGHS simplex; 0 self)
# alloc/copy leaves under it                8 = 0.139% (Vec + SolverStatsDelta::clone site the claim names)
# inclusive nested_ub_recursion             0 = 0.00%  | NestedUbTopology 0 | walk_leaf_to_root 0 | EnumeratedPlan::from_parts 1 = 0.02%
# inclusive HiGHS (solver) frames        5543 = 96.08% — the run is solver-bound, as expected for a 4-stage enumerated policy.
