# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 78K of event 'cpu_core/cycles/Pu'
# Event count (approx.): 3766121620191
#
# Overhead  Command  Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
# ........  .......  ...................  ..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.02%  cobre    libstdc++.so.6.0.36  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
     0.02%  cobre    cobre                [.] parquet::column::writer::encoder::ColumnValueEncoderImpl<T>::write_slice
     0.02%  cobre    cobre                [.] parquet::encodings::rle::RleEncoder::flush_bit_packed_run
     0.02%  cobre    cobre                [.] core::slice::sort::shared::smallsort::small_sort_general
     0.02%  cobre    cobre                [.] HighsSimplexAnalysis::iterationReport()
     0.02%  cobre    cobre                [.] Highs_getSolution
     0.02%  cobre    cobre                [.] presolve::HPresolve::rowPresolve(presolve::HighsPostsolveStack&, int)
     0.02%  cobre    cobre                [.] HEkk::putBacktrackingBasis()
     0.02%  cobre    cobre                [.] parquet::column::writer::encoder::ColumnValueEncoderImpl<T>::write_slice
     0.01%  cobre    cobre                [.] arrow_array::builder::primitive_builder::PrimitiveBuilder<T>::append_value
     0.01%  cobre    cobre                [.] presolve::HPresolve::updateColImpliedBounds(int)
     0.01%  cobre    cobre                [.] HEkk::updateFactor(HVectorBase<double>*, HVectorBase<double>*, int*, int*)
     0.01%  cobre    cobre                [.] HEkkDual::updateDual()
     0.01%  cobre    cobre                [.] HEkkDual::solvePhase2()
     0.01%  cobre    cobre                [.] HEkkDualRow::updateFlip(HVectorBase<double>*)
     0.01%  cobre    cobre                [.] int highs_splay<int, presolve::HPresolve::unlink(int)::{lambda(int)#1}&, presolve::HPresolve::unlink(int)::{lambda(int)#2}&, presolve::HPresolve::unlink(int)::{lambda(int)#3}&>(int const&, int, presolve::HPresolve::unlink(int)::{lambda(int)#1}&, presolve::HPresolve::unlink(int)::{lambda(int)#2}&, presolve::HPresolve::unlink(int)::{lambda(int)#3}&) [clone .isra.0]
     0.01%  cobre    cobre                [.] presolve::HPresolve::updateColImpliedBounds(int, int, double)
     0.01%  cobre    cobre                [.] HighsLinearSumBounds::getImplVarUpper(int, double, double, int) const
     0.01%  cobre    cobre                [.] HighsLinearSumBounds::add(int, int, double)
     0.01%  cobre    cobre                [.] HEkkDual::updateVerify()
     0.01%  cobre    cobre                [.] <std::hash::random::DefaultHasher as core::hash::Hasher>::write
     0.01%  cobre    libm.so.6            [.] __frexp
     0.01%  cobre    cobre                [.] presolve::HPresolve::checkUpdateColImpliedBounds(int, double*, double*) const
     0.01%  cobre    cobre                [.] HEkkDual::debugDualSimplex(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool)
     0.01%  cobre    [unknown]            [k] 0xffffffffb2001988
     0.01%  cobre    cobre                [.] <parquet::column::writer::encoder::ColumnValueEncoderImpl<T> as parquet::column::writer::encoder::ColumnValueEncoder>::flush_data_page
     0.01%  cobre    libstdc++.so.6.0.36  [.] operator new(unsigned long)@plt
     0.01%  cobre    cobre                [.] presolve::HPresolve::shrinkProblem(presolve::HighsPostsolveStack&)
